no_1,obs_code,manageme_1,name_K_1,name_E_1,watershe_1,address_1,long,lat_1,start_1,Ele,level_1,remark_1
393,20204010,환경부,창녕군(영산면사무소),Changnyeonggun(Yeongsanmyeonsamuso),낙동강,경상남도 창녕군 영산면 동리 137-3 (영산면사무소),128.527778,35.453611,1962-11-01,56.7,최적(A),
394,20204020,환경부,창원시(수산대교),Changwonsi(Susandaegyo),낙동강,경상남도 창원시 의창구 대산면 모산리 701 (수산대교,128.714167,35.365278,1988-01-01,23.7,최적(A),
395,20204030,환경부,창녕군(청암리),Changnyeonggun(Cheongamri),낙동강,경상남도 창녕군 부곡면 청암리 1110 (청암취수장옆),128.600833,35.395556,1995-10-01,15.9,우수(B),
396,20204040,환경부,함안군(계내리),Hamangun(Gyenaeri),낙동강,경상남도 함안군 칠서면 계내리 343 (진동양수장옆),128.483611,35.383333,1996-10-15,25.1,최적(A),관측방법 변경(수위제어식→전도형)
397,20204050,환경부,밀양시(내진초교),Miryangsi(Naejinchogyo),낙동강,경상남도 밀양시 무안면 양효리 349 (구 내진초교),128.651944,35.522778,2000-01-01,41.7,우수(B),
398,20214020,환경부,밀양시(남포동),Miryangsi(Nampodong),낙동강,경상남도 밀양시 남포동 408,128.785278,35.461111,1988-01-01,16.1,최적(A),
399,20214030,환경부,밀양시(용전리),Miryangsi(Yongjeonri),낙동강,경상남도 밀양시 산내면 용전리 산192-1,128.8625,35.565833,1962-11-01,93.7,최적(A),일시운영중지(12.11~30)
400,20214040,환경부,청도군(삼신리),Cheongdogun(Samsinri),낙동강,경상북도 청도군 화양읍 삼신리 1110-10,128.726111,35.680833,1988-01-01,100.2,최적(A),
401,20214050,환경부,경산시(곡신리),Gyeongsansi(Goksinri),낙동강,경상북도 경산시 용성면 곡신리 858-36,128.8725,35.791944,1988-01-01,83.3,최적(A),
402,20214060,수자원공사,경주시(내칠리),Gyeongjusi(Naechilri),낙동강,경상북도 경주시 산내면 내칠리 1051-4,129.020278,35.775833,1997-06-19,290,우수(B),
403,20214090,환경부,청도군(수월리),Cheongdogun(Suwolri),낙동강,경상북도 청도군 풍각면 수월리 산101,128.554444,35.666667,1988-03-01,349.1,최적(A),
404,20214100,수자원공사,양산시(선리),Yangsansi(Seonri),낙동강,경상남도양산시원동면 선리 202,129.002778,35.518333,2000-06-01,300,최적(A),
405,20214110,수자원공사,밀양시(밀양댐),Miryangsi(Miryangdam),낙동강,경상남도밀양시단장면 고례리 1719,128.929722,35.484167,2000-06-01,150,최적(A),
406,20214120,수자원공사,청도군(신원리),Cheongdogun(Sinwonri),낙동강,경상북도 청도군 운문면 신원리 149-1,129.002778,35.668333,1997-06-19,270,최적(A),
407,20214130,수자원공사,청도군(운문댐),Cheongdogun(Unmundam),낙동강,경상북도 청도군 운문면 대천리 산143,128.916389,35.718056,1997-06-19,127,우수(B),
408,20214135,수자원공사,경주시(대현리),Gyeongjusi(Daehyeonri),낙동강,경상북도 경주시 산내면 대현리 3127-32,129.058056,35.726667,2004-06-26,250,우수(B),
409,20214140,수자원공사,울산시(이천리),Ulsansi(Icheonri),낙동강,울산광역시 울주군 상북면 이천리 254-3,129.014722,35.564444,2010-12-21,460,최적(A),
410,20224010,환경부,양산시(상북면사무소),Yangsansi(Sangbukmyeonsamuso),낙동강,경상남도 양산시 상북면 석계리 272-20 (상북면사무소,129.064444,35.418333,1962-11-01,52.5,최적(A),관측방법 변경(수위제어식→전도형)
