no,obs_code,management,name_K,name_E,watershed,river,address,long,lat
513,3005675,환경부,영동군(백화교),Yeongdong-gun(Baekhwagyo),금강,석천,충청북도 영동군 황간면 우매리 백화교,127.896667,36.259722
514,3005680,수자원공사,영동군(율리),Yeongdonggun(Yulri),금강,초강,충청북도 영동군 용산면 율리 676-1,127.805,36.229722
515,3005690,환경부,영동군(심천교),Yeongdong-gun(Simcheongyo),금강,초강,충청북도 영동군 심천면 심천리 심천교,127.721667,36.230556
516,3006680,수자원공사,옥천군(이원대교),Okcheongun(Iwondaegyo),금강,금강,충청북도 옥천군 이원면 원동리 241-1,127.668611,36.240278
517,3007610,환경부,보은군(산성교),Boeun-gun(Sanseonggyo),금강,보청천,충청북도 보은군 보은읍 산성리 산성교,127.718333,36.520278
518,3007620,환경부,보은군(이평교),Boeun-gun(Ipyeonggyo),금강,보청천,충청북도 보은군 보은읍 이평리 이평교,127.7225,36.489444
,,,,,,,(충청북도 보?,,
519,3007640,환경부,보은군(탄부교),Boeun-gun(Tanbugyo),금강,삼가천,충청북도 보은군 탄부면 임한리 탄부교,127.811667,36.437222
520,3007645,환경부,보은군(대양교),Boeun-gun(Daeyanggyo),금강,보청천,충청북도 보은군 탄부면 대양리 대양교,127.798056,36.420833
521,3007650,환경부,보은군(기대교),Boeun-gun(Gidaegyo),금강,보청천,충청북도 보은군 마로면 기대리 기대교,127.820833,36.415833
522,3007660,환경부,옥천군(산계교),Okcheon-gun(Sangyegyo),금강,보청천,충청북도 옥천군 청성면 산계리 산계교,127.758056,36.317222
523,3007670,수자원공사,옥천군(산계리),Okcheongun(Sangyeri),금강,보청천,충청북도 옥천군 청성면 산계리 산62,127.735278,36.313611
524,3008630,환경부,옥천군(옥각교),Okcheon-gun(Okgakgyo),금강,소옥천,충청북도 옥천군 옥천읍 옥각리 458-6 옥각교,127.555,36.3175
525,3008670,환경부,금산군(제원교),Geumsan-gun(Jewongyo),금강,봉황천,충청남도 금산군 제원면 저곡리 639-1,127.552778,36.111667
526,3008680,수자원공사,대전시(대청조정지댐),Daejeonsi(Daecheongjojeongjidam),금강,금강,대전시 대덕구 대청로 251(용호동),127.4525,36.448889
527,3008685,수자원공사,청주시(대청댐방수로),Cheongjusi(Daecheongdambangsuro),금강,금강,충청북도 청주시 상당구 문의면 덕유리 노산하석로458,127.479444,36.477778
528,3008690,수자원공사,청주시(대청댐),Cheongjusi(Daecheongdam),금강,금강,충청북도 청주시 상당구 문의면 덕유리 노산하석로458,127.480278,36.478333
529,3008695,환경부,대전시(금강1교),Daejeon-si(Geumgang1gyo),금강,금강,대전광역시 대덕구 석봉동 금강1교,127.416667,36.454722
,,,,,,,(충청북도 청원군,,
530,3009620,환경부,금산군(문암교),Geumsan-gun(munamgyo),금강,유등천,충청남도 금산군 복수면 신대리 문암교,127.377778,36.225
531,3009630,환경부,대전시(복수교),Daejeon-si(Boksugyo),금강,유등천,대전광역시 서구 복수동 복수교 (대전광역시 중구 사?,127.384444,36.299167
532,3009640,환경부,대전시(인창교),Daejeon-si(Inchanggyo),금강,대전천,대전광역시 동구 인동 인창교 (대전광역시 중구 문창?,127.434444,36.323611
533,3009645,환경부,대전시(철갑교),Daejeon-si(Cheolgapgyo),금강,대동천,대전광역시 동구 소제동 철갑교,127.438056,36.335
534,3009650,환경부,대전시(용촌교),Daejeon-si(Yongchongyo),금강,갑천,대전광역시 서구 용촌동 용촌교,127.316111,36.2475
535,3009655,환경부,대전시(두계교),Daejeon-si(Dugyegyo),금강,두계천,대전광역시 유성구 방동 두계교,127.278889,36.266389
,,,,,,,(충청남도 계룡시 두,,
536,3009665,환경부,대전시(가수원교),Daejeon-si(Gasuwongyo),금강,갑천,대전광역시 서구 가수원동 가수원교,127.358889,36.306667
537,3009670,환경부,대전시(만년교),Daejeon-si(Mannyeongyo),금강,갑천,대전광역시 서구 월평동 만년교,127.349722,36.351667
,,,,,,,(대전광역시 유성구,,
538,3009673,환경부,대전시(한밭대교),Daejeon-si(Hanbatdaegyo),금강,유등천,대전광역시 서구 둔산동 한밭대교,127.403056,36.356944
,,,,,,,(대전광역시 대덕?,,
539,3009675,환경부,대전시(대덕대교),Daejeon-si(Daedeokdaegyo),금강,갑천,대전광역시 유성구 도룡동 대덕대교,127.379722,36.373333
,,,,,,,(대전광역시 서?,,
540,3009680,환경부,대전시(원촌교),Daejeon-si(Wonchongyo),금강,갑천,대전광역시 대덕구 대화동 원촌교,127.41,36.378333
,,,,,,,(대전광역시 유성?,,
541,3009693,환경부,대전시(신구교),Daejeon-si(Singugyo),금강,갑천,대전광역시 유성구 봉산동 신구교,127.393333,36.437222
,,,,,,,(대전광역시 대덕?,,
542,3009698,환경부,대전시(봉산동),Daejeon-si(Bongsan-dong),금강,갑천,대전광역시 유성구 봉산동 53,127.394444,36.451389
543,3010620,환경부,세종시(노호리),Sejong-si(Noho-ri),금강,금강,세종특별자치시 부강면 노호리 423,127.395556,36.492778
544,3010660,환경부,세종시(명학리),Sejong-si(Myeonghak-ri),금강,금강,세종특별자치시 연동면 명학리 963,127.3575,36.52
545,3011615,환경부,진천군(신정교),Jincheon-gun(Sinjeonggyo),금강,백곡천,충청북도 진천군 진천읍 신정리 신정교,127.462222,36.855
,,,,,,,(충청북도 진?,,
546,3011617,환경부,진천군(금곡교),Jincheon-gun(Geumgokgyo),금강,초평천,충청북도 진천군 초평면 용정리 금곡교,127.531667,36.846667
547,3011620,환경부,진천군(가산교),Jincheon-gun(Gasangyo),금강,미호천,충청북도 진천군 덕산면 인산리 가산교,127.477222,36.876389
548,3011623,환경부,진천군(인산리),Jincheon-gun(Insan-ri),금강,한천,충청북도 진천군 덕산읍 인산리 1266-1,127.505556,36.866111
